_id,camera_view,camera_index,status,reason,time_stamp,inspection_id,inference_image,remark,consolidated
61ce96964ab84456faf6df7e,1,1,Rejected,{'dent': 1},2021-12-31 11:05:18,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96964ab84456faf6df7d.jpg,,True
61ce96964ab84456faf6df80,2,2,Accepted,{},2021-12-31 11:05:18,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96964ab84456faf6df7f.jpg,,True
61ce96964ab84456faf6df82,3,3,Rejected,{'dent': 1},2021-12-31 11:05:18,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96964ab84456faf6df81.jpg,,True
61ce96964ab84456faf6df84,4,4,Accepted,{},2021-12-31 11:05:18,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96964ab84456faf6df83.jpg,,True
61ce96964ab84456faf6df86,5,5,Accepted,{},2021-12-31 11:05:18,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96964ab84456faf6df85.jpg,,True
61ce96964ab84456faf6df88,6,6,Rejected,{'dent': 1},2021-12-31 11:05:18,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96964ab84456faf6df87.jpg,,True
61ce96964ab84456faf6df8a,7,7,Rejected,{'burr': 2},2021-12-31 11:05:18,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96964ab84456faf6df89.jpg,,True
61ce96964ab84456faf6df8c,8,8,Accepted,{},2021-12-31 11:05:18,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96964ab84456faf6df8b.jpg,,True
61ce96964ab84456faf6df8e,9,9,Accepted,{},2021-12-31 11:05:18,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96964ab84456faf6df8d.jpg,,True
61ce96974ab84456faf6df90,10,10,Accepted,{},2021-12-31 11:05:19,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96974ab84456faf6df8f.jpg,,True
61ce96984ab84456faf6df92,11,11,Accepted,{},2021-12-31 11:05:20,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96984ab84456faf6df91.jpg,,True
61ce96994ab84456faf6df94,12,12,Rejected,{'Part mismatch': 1},2021-12-31 11:05:21,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96994ab84456faf6df93.jpg,,True
61ce96994ab84456faf6df96,13,13,Rejected,{'Part mismatch': 1},2021-12-31 11:05:21,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96994ab84456faf6df95.jpg,,True
61ce96994ab84456faf6df98,14,14,Rejected,{'dent': 1},2021-12-31 11:05:21,61ce96904ab84456faf6df7c,http://127.0.0.1:3306/images/61ce96994ab84456faf6df97.jpg,,True
61ce98184ab84456faf6df9c,1,1,Rejected,{'dent': 1},2021-12-31 11:11:44,61ce97f64ab84456faf6df9a,http://127.0.0.1:3306/images/61ce98184ab84456faf6df9b.jpg,,True
61ce98184ab84456faf6df9e,2,2,Accepted,{},2021-12-31 11:11:44,61ce97f64ab84456faf6df9a,http://127.0.0.1:3306/images/61ce98184ab84456faf6df9d.jpg,,True
